model,checkpoint,n_items,acc,acc_crit
llama31_70b,COPULA,2002,0.6523476523476524,0.7112887112887113
llama31_70b,V2,2000,0.533,0.5365
llama31_70b,V3,2000,0.6505,0.674
pythia410,COPULA,2002,0.7087912087912088,0.7052947052947053
pythia410,V2,2000,0.469,0.464
pythia410,V3,2000,0.654,0.671
qwen25_14b,COPULA,2002,0.6978021978021978,0.7072927072927073
qwen25_14b,V2,2000,0.5585,0.502
qwen25_14b,V3,2000,0.5115,0.551
qwen25_32b,COPULA,2002,0.7507492507492507,0.7482517482517482
qwen25_32b,V2,2000,0.5395,0.5075
qwen25_32b,V3,2000,0.66,0.5995
qwen25_72b,COPULA,2002,0.6588411588411588,0.7782217782217782
qwen25_72b,V2,2000,0.517,0.5235
qwen25_72b,V3,2000,0.559,0.579
