model,v2_attractor_incongruent,n_items,acc_v2,acc_v2_crit,v2_drop_full,v2_drop_crit
llama31_70b,0,1003,0.7278165503489531,0.6899302093718843,0.3908055172496552,0.3077837700539305
llama31_70b,1,997,0.3370110330992979,0.38214643931795383,0.3908055172496552,0.3077837700539305
pythia410,0,1003,0.47557328015952144,0.4626121635094716,0.013186118675068081,-0.002784025056225492
pythia410,1,997,0.46238716148445336,0.4653961885656971,0.013186118675068081,-0.002784025056225492
qwen25_14b,0,1003,0.7417746759720838,0.6490528414755733,0.3676523088707799,0.29499065491589427
qwen25_14b,1,997,0.3741223671013039,0.354062186559679,0.3676523088707799,0.29499065491589427
qwen25_32b,0,1003,0.6410767696909272,0.6221335992023929,0.20376483388350491,0.22995706961362655
qwen25_32b,1,997,0.4373119358074223,0.3921765295887663,0.20376483388350491,0.22995706961362655
qwen25_72b,0,1003,0.7846460618145563,0.7467597208374875,0.5369028321254892,0.4478630307672769
qwen25_72b,1,997,0.2477432296890672,0.29889669007021064,0.5369028321254892,0.4478630307672769
